Frequency (Hz) - V-in (PSD),Power (dB) - V-in (PSD)
1430,-44.2757
1431,-44.538
1432,-44.2819
1433,-44.1479
1434,-43.7531
1435,-44.6933
1436,-44.0078
1437,-44.4106
1438,-44.2118
1439,-44.2659
1440,-44.6905
1441,-44.6951
1442,-44.4602
1443,-44.3575
1444,-44.7753
1445,-44.164
1446,-44.2246
1447,-43.9612
1448,-44.2392
1449,-44.2181
1450,-44.1742
1451,-43.7702
1452,-44.5215
1453,-44.4823
1454,-44.1133
1455,-44.1421
1456,-44.9522
1457,-44.3598
1458,-44.6585
1459,-43.8139
1460,-44.4019
1461,-44.3316
1462,-44.3215
1463,-44.4585
1464,-44.3681
1465,-44.0005
1466,-44.3178
1467,-44.5157
1468,-44.1462
1469,-44.1637
1470,-43.9112
1471,-44.4553
1472,-44.6789
1473,-44.3142
1474,-44.3826
1475,-44.2134
1476,-44.1846
1477,-44.513
1478,-44.5039
1479,-44.3687
1480,-44.3643
1481,-44.4762
1482,-44.5009
1483,-44.5582
1484,-44.0302
1485,-44.5062
1486,-44.3279
1487,-44.2132
1488,-44.2929
1489,-43.9195
1490,-44.4446
1491,-44.1882
1492,-44.2714
1493,-43.9272
1494,-44.2901
1495,-44.1469
1496,-43.9026
1497,-44.5158
1498,-44.4451
1499,-44.6493
1500,-44.1897
1501,-44.1577
1502,-44.4812
1503,-44.5548
1504,-44.5987
1505,-44.2046
1506,-44.4701
1507,-44.6495
1508,-44.6094
1509,-43.9418
1510,-44.1107
1511,-43.92
1512,-44.5244
1513,-44.167
1514,-44.6833
1515,-44.5885
1516,-44.4371
1517,-44.2473
1518,-44.3263
1519,-44.1186
1520,-44.9084
1521,-43.8987
1522,-44.5699
1523,-44.4187
1524,-44.5252
1525,-44.2331
1526,-44.0437
1527,-44.6959
1528,-44.1421
1529,-44.3175
1530,-44.1466
1531,-44.0698
1532,-44.0791
1533,-44.6341
1534,-44.4915
1535,-44.5504
1536,-44.2144
1537,-44.2934
1538,-44.1948
1539,-44.4165
1540,-44.0898
1541,-44.3168
1542,-44.076
1543,-44.6768
1544,-43.6559
1545,-44.2857
1546,-44.5721
1547,-43.9885
1548,-44.3414
1549,-44.5792
1550,-44.1366
1551,-44.6693
1552,-44.3157
1553,-44.3224
1554,-44.1133
1555,-44.3631
1556,-43.9351
1557,-45.1868
1558,-43.878
1559,-43.8598
1560,-44.1715
1561,-44.7667
1562,-44.439
1563,-43.853
1564,-44.8172
1565,-44.4446
1566,-43.8204
1567,-43.9881
1568,-44.3892
1569,-43.9993
1570,-44.0819
1571,-44.3287
1572,-44.9429
1573,-44.1735
1574,-44.5115
1575,-43.9238
1576,-44.4491
1577,-44.1681
1578,-44.1214
1579,-44.0726
1580,-44.164
1581,-45.0632
1582,-44.1005
1583,-44.0199
1584,-44.2298
1585,-43.9494
1586,-44.2957
1587,-44.1813
1588,-44.5744
1589,-44.3869
1590,-43.4512
1591,-44.1414
1592,-44.3322
1593,-44.3305
1594,-44.2954
1595,-44.9776
1596,-44.1863
1597,-44.2258
1598,-44.6333
1599,-44.0951
1600,-43.8095
1601,-44.1145
1602,-43.9428
1603,-44.4137
1604,-44.2345
1605,-44.4427
1606,-44.3868
1607,-44.1554
1608,-43.8317
1609,-44.0005
1610,-44.3371
1611,-44.2101
1612,-44.5197
1613,-44.5678
1614,-44.2046
1615,-44.071
1616,-44.1135
1617,-44.16
1618,-44.3955
1619,-43.8825
1620,-44.255
1621,-44.6996
1622,-44.5162
1623,-43.8757
1624,-44.346
1625,-44.2062
1626,-44.7666
1627,-44.227
1628,-43.8148
1629,-44.5255
1630,-44.8115
1631,-44.6756
1632,-44.2729
1633,-44.298
1634,-43.7921
1635,-44.2931
1636,-44.8905
1637,-44.3308
1638,-44.2635
1639,-44.0919
1640,-44.2435
1641,-44.4014
1642,-43.99
1643,-43.8754
1644,-44.5911
1645,-44.7916
1646,-43.9467
1647,-44.6855
1648,-43.9425
1649,-43.9413
1650,-44.2154
1651,-44.2687
1652,-44.0045
1653,-44.399
1654,-43.7822
1655,-44.3399
1656,-44.4001
1657,-44.3475
