Frequency (Hz) - V-in (PSD),Power (dB) - V-in (PSD)
1327,-50.7105
1328,-50.3057
1329,-50.5686
1330,-50.5181
1331,-50.5184
1332,-49.888
1333,-50.2164
1334,-50.1506
1335,-50.6425
1336,-50.1491
1337,-49.7627
1338,-50.7933
1339,-50.2053
1340,-50.1781
1341,-50.1214
1342,-50.802
1343,-50.6439
1344,-50.6023
1345,-50.4269
1346,-50.3186
1347,-50.363
1348,-49.8883
1349,-50.6243
1350,-50.3481
1351,-50.506
1352,-50.2127
1353,-50.7378
1354,-50.7834
1355,-50.4476
1356,-50.3619
1357,-50.2929
1358,-51.2929
1359,-50.6048
1360,-50.7122
1361,-50.8119
1362,-50.5125
1363,-51.0687
1364,-50.3721
1365,-50.9234
1366,-50.3375
1367,-51.0789
1368,-50.4627
1369,-50.7887
1370,-50.8885
1371,-50.9398
1372,-50.7999
1373,-50.6313
1374,-50.8302
1375,-51.0468
1376,-50.7948
1377,-50.817
1378,-51.0507
1379,-50.8412
1380,-51.0184
1381,-50.7824
1382,-51.1008
1383,-50.9853
1384,-51.056
1385,-51.0194
1386,-50.8037
1387,-50.6022
1388,-50.6788
1389,-50.8781
1390,-50.8732
1391,-51.2751
1392,-50.9042
1393,-51.3871
1394,-50.9236
1395,-51.2901
1396,-51.1819
1397,-50.3594
1398,-51.1722
1399,-51.3157
1400,-51.1173
1401,-51.0681
1402,-51.1907
1403,-50.8044
1404,-50.6112
1405,-50.6822
1406,-50.5725
1407,-51.46
1408,-51.3741
1409,-50.9741
1410,-51.4729
1411,-51.3593
1412,-51.4028
1413,-51.0666
1414,-51.1452
1415,-51.3027
1416,-51.3673
1417,-51.0104
1418,-51.4332
1419,-51.4588
1420,-51.1192
1421,-50.4556
1422,-50.9532
1423,-51.3048
1424,-51.1619
1425,-51.7169
1426,-51.5285
1427,-51.5754
1428,-51.1105
1429,-51.5432
1430,-51.3038
1431,-51.3953
1432,-51.2538
1433,-51.1775
1434,-51.2183
1435,-52.0283
1436,-51.2515
1437,-51.5729
1438,-51.5683
1439,-51.2376
1440,-51.4442
1441,-51.3873
1442,-51.6809
1443,-51.6901
1444,-51.7532
1445,-51.4654
1446,-51.1058
1447,-51.3148
1448,-51.7077
1449,-51.571
1450,-51.3412
1451,-51.8177
1452,-51.5093
1453,-51.5752
1454,-51.9414
1455,-51.1486
1456,-51.4967
1457,-51.5025
1458,-51.8806
1459,-51.8724
1460,-51.9499
1461,-51.9669
1462,-51.712
1463,-51.8354
1464,-51.1623
1465,-51.3598
1466,-51.7266
1467,-51.6843
1468,-51.9231
1469,-51.3365
1470,-51.8385
1471,-51.8492
1472,-51.2446
1473,-51.6917
1474,-51.7533
1475,-51.6828
1476,-51.5908
1477,-51.5314
1478,-51.9025
1479,-51.4555
1480,-51.755
1481,-51.6995
1482,-51.9318
1483,-51.5992
1484,-51.3457
1485,-51.642
1486,-51.8098
1487,-52.1072
1488,-51.8033
1489,-51.3879
1490,-51.9441
1491,-52.642
1492,-51.7014
1493,-51.7408
1494,-52.1817
1495,-51.9666
1496,-51.875
1497,-51.8186
1498,-51.6802
1499,-51.8237
1500,-51.9151
1501,-52.0365
1502,-52.0603
