Frequency (Hz) - V-in (PSD),Power (dB) - V-in (PSD)
1388,-44.2759
1389,-44.5787
1390,-44.3278
1391,-44.1298
1392,-43.7719
1393,-44.6235
1394,-44.4741
1395,-44.7771
1396,-44.6802
1397,-44.0226
1398,-44.6799
1399,-44.6299
1400,-44.765
1401,-44.9985
1402,-44.2608
1403,-44.5251
1404,-44.4825
1405,-44.5272
1406,-44.3813
1407,-43.9223
1408,-44.8308
1409,-44.4331
1410,-44.3388
1411,-44.6247
1412,-44.4279
1413,-44.4219
1414,-44.1863
1415,-44.5709
1416,-44.293
1417,-44.0667
1418,-43.9889
1419,-44.4269
1420,-44.5509
1421,-44.5771
1422,-44.3385
1423,-44.1971
1424,-44.0803
1425,-43.8879
1426,-44.6559
1427,-44.1951
1428,-44.5733
1429,-44.9667
1430,-44.2289
1431,-44.2913
1432,-44.5748
1433,-43.8634
1434,-44.2548
1435,-44.1997
1436,-44.19
1437,-44.9212
1438,-44.1202
1439,-45.1394
1440,-44.7411
1441,-44.2224
1442,-44.323
1443,-44.3828
1444,-44.7369
1445,-44.3162
1446,-45.0755
1447,-44.4811
1448,-44.1907
1449,-44.4035
1450,-44.2573
1451,-44.3518
1452,-44.6154
1453,-44.7639
1454,-44.2443
1455,-44.4029
1456,-44.3635
1457,-44.1104
1458,-44.8893
1459,-44.1912
1460,-44.7718
1461,-44.925
1462,-44.6495
1463,-45.0157
1464,-44.8322
1465,-44.6264
1466,-44.0866
1467,-44.5346
1468,-44.581
1469,-44.8338
1470,-44.1533
1471,-43.6704
1472,-44.1412
1473,-43.8234
1474,-44.3884
1475,-44.5683
1476,-44.8284
1477,-44.6191
1478,-44.6783
1479,-44.4539
1480,-44.6284
1481,-44.4011
1482,-44.8431
1483,-44.5051
1484,-44.5493
1485,-44.3238
1486,-44.3717
1487,-43.7429
1488,-44.6149
1489,-44.8738
1490,-44.6539
1491,-44.5096
1492,-44.2609
1493,-44.2522
1494,-44.0302
1495,-44.3421
1496,-44.5276
1497,-44.6326
1498,-44.442
1499,-44.0866
1500,-44.088
1501,-44.4187
1502,-44.5883
1503,-44.3446
1504,-44.8893
1505,-44.4127
1506,-44.0724
1507,-44.5408
1508,-44.3128
1509,-44.31
1510,-44.8076
1511,-44.791
1512,-44.5281
1513,-44.5541
1514,-44.1816
1515,-44.3909
1516,-44.5746
1517,-44.526
1518,-44.2438
1519,-44.4374
1520,-44.2679
1521,-44.5144
1522,-44.3317
1523,-45.1675
1524,-44.7475
1525,-44.465
1526,-44.1681
1527,-44.7902
1528,-44.8113
1529,-44.6383
1530,-44.0862
1531,-44.4924
1532,-44.954
1533,-44.7458
1534,-44.5329
1535,-44.458
1536,-44.3441
1537,-45.1852
1538,-45.3544
1539,-44.1707
1540,-44.9694
1541,-44.6924
1542,-44.2403
1543,-44.6464
1544,-44.6535
1545,-44.4278
1546,-44.1386
1547,-44.1313
1548,-44.7863
1549,-44.3057
1550,-44.6046
1551,-44.6426
1552,-44.3893
1553,-44.4815
1554,-44.528
1555,-44.6138
1556,-44.3083
1557,-44.1693
1558,-44.5678
1559,-45.0254
1560,-44.7532
1561,-44.4608
1562,-44.4307
1563,-44.4956
1564,-44.5756
1565,-44.7101
1566,-44.7856
1567,-44.5502
1568,-44.2198
1569,-44.5123
1570,-44.7777
1571,-44.7625
1572,-44.6497
1573,-44.3628
1574,-44.7801
1575,-44.1694
1576,-44.1452
1577,-44.4554
1578,-44.7244
1579,-44.5637
1580,-44.9705
1581,-44.4855
1582,-44.1802
1583,-44.3908
1584,-44.3728
1585,-44.6463
1586,-44.5518
1587,-43.7241
1588,-44.8286
1589,-44.5168
1590,-44.7645
1591,-44.5614
1592,-44.5774
1593,-44.8593
1594,-45.1119
1595,-44.3935
1596,-44.9481
1597,-45.0768
1598,-44.5541
1599,-44.7328
1600,-44.3007
1601,-44.6684
1602,-44.3259
1603,-44.4652
1604,-44.6244
1605,-43.9619
1606,-44.7569
1607,-44.0631
1608,-45.2702
1609,-44.4235
1610,-44.8519
1611,-44.5423
1612,-44.724
1613,-44.8821
1614,-44.3621
1615,-44.6842
1616,-44.5253
1617,-45.0003
1618,-44.095
1619,-44.9424
1620,-44.7333
1621,-44.2607
1622,-44.6914
1623,-43.9998
1624,-44.6027
1625,-44.7246
1626,-44.4487
1627,-44.6224
1628,-45.0697
1629,-44.2075
1630,-44.5898
